x,y,z,r,g,b
38,39,20,0.5891067538126361,0.5163398692810457,0.4775599128540305
37,38,20,0.5873125720876585,0.5171856978085351,0.4761245674740484
39,40,20,0.5838523644752017,0.5125720876585929,0.4728950403690888
36,41,20,0.5463046757164404,0.49260935143288087,0.46425339366515844
25,31,30,0.5278830176138254,0.4555001661681622,0.38597540711199735
58,29,33,0.6518518518518519,0.5782135076252722,0.5294117647058824
25,30,30,0.34035947712418296,0.2869281045751634,0.23921568627450976
25,32,30,0.5723600283486893,0.49232223009685844,0.44516891093786876
27,32,30,0.5783694530443759,0.49886480908152686,0.45440660474716155
50,9,31,0.23585434173669467,0.20336134453781513,0.16750700280112044
26,30,30,0.597612958226769,0.5744245524296675,0.5156010230179028
26,29,30,0.6066134928547688,0.5220006646726487,0.47490860751080044
70,29,33,0.6160784313725489,0.5294117647058824,0.4878431372549019
27,31,30,0.5827324478178372,0.5038583175205567,0.45553447185325685
25,25,31,0.5599999999999999,0.47372549019607846,0.4258823529411765
49,27,31,0.6047058823529412,0.5247058823529411,0.48313725490196074
38,35,26,0.5366421568627451,0.4810049019607844,0.45392156862745114
43,37,25,0.5361344537815129,0.45370148059223636,0.4151260504201676
30,26,31,0.5818445896877267,0.49397240377632534,0.45548293391430655
54,9,43,0.5061840120663649,0.6561085972850679,0.6847662141779789
32,35,28,0.542156862745098,0.4691176470588236,0.4284313725490196
40,0,47,0.25418894830659533,0.2855614973262031,0.30196078431372547
53,4,43,0.12164404223227739,0.1596907993966815,0.16319758672699824
31,35,28,0.5485294117647058,0.47450980392156866,0.4323529411764706
31,35,29,0.5372549019607843,0.46274509803921565,0.41830065359477125
31,35,27,0.5521568627450979,0.4768627450980392,0.43764705882352956
67,12,4,0.5781512605042016,0.48179271708683474,0.4257703081232493
32,35,27,0.5499999999999999,0.4769607843137255,0.4392156862745099
32,35,26,0.5398692810457516,0.4666666666666667,0.4296296296296296
50,9,33,0.08355957767722473,0.21538461538461537,0.22684766214177987
31,35,26,0.5515151515151514,0.4770053475935829,0.44064171122994666
31,35,30,0.5107843137254902,0.44313725490196076,0.403921568627451
73,29,29,0.5971479500891265,0.509090909090909,0.45739750445632804
51,29,30,0.6053199574403406,0.5267973856209153,0.4873993008055931
32,35,30,0.5111111111111111,0.44705882352941173,0.407843137254902
73,31,10,0.6013071895424836,0.5093681917211329,0.4596949891067539
68,1,7,0.38088235294117645,0.3259803921568627,0.2740196078431372
33,35,30,0.523249299719888,0.4560224089635855,0.4201680672268907
30,35,30,0.5160784313725489,0.45098039215686275,0.4109803921568628
67,1,51,0.22111613876319758,0.2120663650075415,0.20150829562594275
29,35,30,0.5239215686274509,0.4549019607843137,0.4101960784313726
29,35,29,0.5555555555555556,0.47450980392156855,0.42875816993464055
